ticker,sector
TIMS3F.SA,Unknown
UGPA3.SA,Energy
MULT3.SA,Real Estate
KLBN11F.SA,Unknown
B3SA3F.SA,Unknown
LVTC3F.SA,Unknown
KLBN4.SA,Basic Materials
ECOO11.SA,Unknown
GFSA3F.SA,Unknown
HCHG11.SA,Unknown
CYRE3.SA,Consumer Cyclical
NUTR3F.SA,Unknown
ENGI3F.SA,Unknown
PAGS34.SA,Technology
BRSR3F.SA,Unknown
BBDC3F.SA,Unknown
F1TN34.SA,Technology
RDOR3F.SA,Unknown
IRBR3.SA,Financial Services
EALT4F.SA,Unknown
TOTS3F.SA,Unknown
ZAMP3F.SA,Unknown
D1XC34.SA,Technology
BRFS3.SA,Consumer Defensive
ITSA4.SA,Industrials
BBAS3F.SA,Unknown
RCSL4F.SA,Unknown
HAGA4F.SA,Unknown
TELB3F.SA,Unknown
RSUL4F.SA,Unknown
CPLE3.SA,Utilities
AZEV4.SA,Industrials
FIND11.SA,Unknown
CTSA4.SA,Consumer Cyclical
EQTL9.SA,Unknown
PTBL3.SA,Industrials
SEQL3.SA,Industrials
L1UL34.SA,Consumer Cyclical
UGPA3F.SA,Unknown
BEEF3F.SA,Unknown
ITUB4.SA,Financial Services
COPN11.SA,Unknown
RPAD6.SA,Industrials
MATB11.SA,Unknown
GMAT3F.SA,Unknown
PGMN3.SA,Healthcare
SMFT3F.SA,Unknown
FHER3.SA,Basic Materials
S1PO34.SA,Communication Services
G1FI34.SA,Basic Materials
TOTS3.SA,Technology
BFXI39.SA,Unknown
ALUP4.SA,Utilities
BRSR6.SA,Financial Services
TRIG11.SA,Unknown
ASAI3F.SA,Unknown
ITSA4F.SA,Unknown
BBAS3.SA,Financial Services
IGTI3F.SA,Unknown
ODPV3.SA,Healthcare
A1UT34.SA,Technology
JMBI11.SA,Unknown
CBAV3F.SA,Unknown
TRIS3F.SA,Unknown
HAGA3.SA,Industrials
S1TX34.SA,Technology
TECN3F.SA,Unknown
BMOB3.SA,Communication Services
QUAL3F.SA,Unknown
TELB4F.SA,Unknown
GPRK34.SA,Energy
NGRD3F.SA,Unknown
KLBN4F.SA,Unknown
VVEO3.SA,Healthcare
VVEO3F.SA,Unknown
PETZ3.SA,Consumer Cyclical
HIGH11.SA,Unknown
MGLU3.SA,Consumer Cyclical
OGIN11.SA,Unknown
BRSR6F.SA,Unknown
ENEV3F.SA,Unknown
BIDU34.SA,Communication Services
ALUP11.SA,Utilities
XRXB34.SA,Technology
ALUP4F.SA,Unknown
AURE3.SA,Utilities
BCIC11.SA,Unknown
F1MC34.SA,Basic Materials
R1KU34.SA,Communication Services
PLAS3F.SA,Unknown
MNDL3F.SA,Unknown
LWSA3F.SA,Unknown
MWET4.SA,Consumer Cyclical
BBDC4F.SA,Unknown
BRSR3.SA,Financial Services
BDIF11.SA,Unknown
BBDC3.SA,Financial Services
G1LP34.SA,Healthcare
CSAN3.SA,Energy
BRAP4.SA,Financial Services
STOC31.SA,Technology
