ticker,sector
BIHI39.SA,Unknown
HAPV3.SA,Financial Services
LEVE3.SA,Consumer Cyclical
LJQQ3.SA,Consumer Cyclical
DEFI11.SA,Unknown
N2TN34.SA,Unknown
ENGI4.SA,Utilities
VGIP11.SA,Unknown
GOAU4.SA,Basic Materials
XPCA11.SA,Unknown
IMAB11.SA,Unknown
PINE3.SA,Financial Services
TSMC34.SA,Technology
EUCA4.SA,Industrials
R1DY34.SA,Healthcare
CAMB3.SA,Consumer Cyclical
TMCO34.SA,Consumer Cyclical
BMEB4.SA,Financial Services
IMBB11.SA,Unknown
BBUG39.SA,Unknown
AXPB34.SA,Financial Services
IBCR11.SA,Unknown
RAPT4.SA,Industrials
EUCA3.SA,Industrials
CXSE3.SA,Financial Services
BRAP3.SA,Financial Services
GGBR3.SA,Basic Materials
ISAE3.SA,Utilities
CTSH34.SA,Technology
JPPA11.SA,Unknown
NETE34.SA,Communication Services
MOVI3.SA,Industrials
NIKE34.SA,Consumer Cyclical
DEEC34.SA,Industrials
XPID11.SA,Unknown
XPML11.SA,Unknown
BDAP11.SA,Unknown
FLRY3.SA,Healthcare
MATD3.SA,Healthcare
ITRI11.SA,Unknown
EQIR11.SA,Unknown
ALZC11.SA,Unknown
AZUL4.SA,Industrials
GARE11.SA,Unknown
BTRA11.SA,Unknown
WPLZ11.SA,Unknown
SADI11.SA,Unknown
WHRL4.SA,Consumer Cyclical
CEOC11.SA,Financial
CEBR5.SA,Utilities
SJAU11.SA,Unknown
MXRF11.SA,Real Estate
BLUE11.SA,Unknown
SOJA3.SA,Basic Materials
A1PH34.SA,Technology
KNUQ11.SA,Unknown
CLSA3Q.SA,Unknown
HGRU11.SA,Financial
ICRI11.SA,Unknown
SNFF11.SA,Unknown
HGPO11.SA,Real Estate
TRXF11.SA,Unknown
PACC11.SA,Unknown
RBRS11.SA,Unknown
XFIX11.SA,Unknown
MNPR3.SA,Consumer Defensive
IRFM11.SA,Unknown
NTNS11.SA,Unknown
OFSA3.SA,Healthcare
RBVA11.SA,Financial
E1RI34.SA,Technology
P2NB34.SA,Unknown
BILF39.SA,Unknown
PATL11.SA,Unknown
DAMT11.SA,Unknown
VRTM11.SA,Unknown
B5P211.SA,Unknown
TUPY3.SA,Industrials
CPTI11.SA,Unknown
BODB11.SA,Unknown
HGLG11.SA,Real Estate
BTHF11.SA,Unknown
RIOT34.SA,Basic Materials
PULV11.SA,Unknown
EKTR4.SA,Utilities
MANA11.SA,Real Estate
SNEL11.SA,Unknown
F2IC34.SA,Unknown
T1WL34.SA,Technology
GOAU3.SA,Basic Materials
CPRL34.SA,Industrials
I1EX34.SA,Industrials
HGFF11.SA,Financial
CRAA11.SA,Unknown
MCLO11.SA,Unknown
TAEE3.SA,Utilities
PRIO3.SA,Energy
RBRL11.SA,Unknown
DEBB11.SA,Unknown
PQAG11.SA,Unknown
G1AR34.SA,Technology
OCRE11.SA,Unknown
WLMM4.SA,Consumer Cyclical
BMIN4.SA,Financial Services
A1TH34.SA,Communication Services
RZTR11.SA,Unknown
CRPG5.SA,Basic Materials
LFTB11.SA,Unknown
GZIT11.SA,Unknown
ALZR11.SA,Financial
CLIN11.SA,Unknown
BLMO11.SA,Unknown
AALL34.SA,Industrials
IFRI11.SA,Unknown
LASC11.SA,Unknown
BRZP11.SA,Unknown
BRIP11.SA,Unknown
KNOX11.SA,Unknown
IBOV11.SA,Unknown
FZDB11.SA,Unknown
BSRE39.SA,Unknown
A2SO34.SA,Unknown
BEWY39.SA,Unknown
BBVH12.SA,Unknown
M2PR34.SA,Unknown
IBBP11.SA,Unknown
FNAM11.SA,Unknown
F1UN34.SA,Unknown
ASMT11.SA,Unknown
CEBR3.SA,Utilities
HDEL11.SA,Unknown
ESTR4.SA,Consumer Cyclical
AZUL2.SA,Unknown
KNRE11.SA,Real Estate
P2CF34.SA,Unknown
ENDD11.SA,Unknown
BEEM39.SA,Unknown
I2TC34.SA,Healthcare
AGXY3.SA,Basic Materials
TRXY11.SA,Unknown
PATC11.SA,Financial
URHF11.SA,Unknown
ANCR11.SA,Unknown
ZAVC11.SA,Unknown
V1IP34.SA,Consumer Cyclical
RCFF11.SA,Unknown
SNME11.SA,Unknown
D2KS34.SA,Unknown
Q2SC34.SA,Unknown
O2NS34.SA,Unknown
APXR11.SA,Unknown
GCDL11.SA,Unknown
FMOF11.SA,Financial
TGAR11.SA,Unknown
MCEM11.SA,Unknown
VSLH11.SA,Unknown
B1BW34.SA,Consumer Cyclical
A1CR34.SA,Consumer Cyclical
I1FO34.SA,Technology
T1FX34.SA,Healthcare
DDNB34.SA,Basic Materials
I1VZ34.SA,Financial Services
NEXP3.SA,Real Estate
SAPR4.SA,Utilities
H1FC34.SA,Energy
FIQE3.SA,Communication Services
CLXC34.SA,Consumer Defensive
N1BI34.SA,Healthcare
CGRA3.SA,Consumer Cyclical
O1KE34.SA,Energy
I1RM34.SA,Real Estate
I1FF34.SA,Basic Materials
WUNI34.SA,Financial Services
T1EC34.SA,Energy
V1MC34.SA,Basic Materials
A1DM34.SA,Consumer Defensive
TXRX4.SA,Consumer Cyclical
H1RL34.SA,Consumer Defensive
HBTS5.SA,Real Estate
W2ST34.SA,Healthcare
VLOE34.SA,Energy
A1JG34.SA,Financial Services
E1QR34.SA,Real Estate
BIEI39.SA,Unknown
P2CY34.SA,Unknown
BSTI39.SA,Unknown
SIVR39.SA,Unknown
R2NG34.SA,Unknown
BEWZ39.SA,Unknown
BEWP39.SA,Unknown
TF623.SA,Unknown
D2OX34.SA,Unknown
F2IV34.SA,Unknown
BGRB11.SA,Unknown
KFEN11.SA,Unknown
HIWP34.SA,Unknown
BRSR5.SA,Financial Services
FPNG11.SA,Financial
BBER39.SA,Unknown
BFVD39.SA,Unknown
BPVE39.SA,Unknown
HPDP11.SA,Unknown
A1LN34.SA,Healthcare
BDLL3.SA,Industrials
BIJS39.SA,Unknown
NEXG11.SA,Unknown
HAAA11.SA,Unknown
JCIN11.SA,Unknown
BLPA39.SA,Unknown
ISCJ11.SA,Unknown
TORD11.SA,Unknown
I1AC34.SA,Communication Services
RBLG11.SA,Unknown
VGRI11.SA,Unknown
BCLO39.SA,Unknown
AJFI11.SA,Unknown
BPFF11.SA,Real Estate
S2CH34.SA,Unknown
MTSA3.SA,Industrials
K1IM34.SA,Real Estate
N1OV34.SA,Energy
REGN34.SA,Healthcare
A1RE34.SA,Real Estate
HSHY34.SA,Consumer Defensive
G2EV34.SA,Utilities
S1OU34.SA,Industrials
BIIB34.SA,Healthcare
U2TH34.SA,Healthcare
C2HD34.SA,Consumer Cyclical
EQPA5.SA,Utilities
CLSC3.SA,Utilities
Z1TS34.SA,Healthcare
R1MD34.SA,Healthcare
Z1TS34.SA,Healthcare
R1MD34.SA,Healthcare
C2HD34.SA,Consumer Cyclical
P1HM34.SA,Consumer Cyclical
CAPH34.SA,Consumer Cyclical
CLSC3.SA,Utilities
CHME34.SA,Financial Services
EQPA5.SA,Utilities
KMIC34.SA,Energy
S1OU34.SA,Industrials
BIIB34.SA,Healthcare
MTSA3.SA,Industrials
K1IM34.SA,Real Estate
A1RE34.SA,Real Estate
USSX34.SA,Basic Materials
BKWB39.SA,Unknown
C2PR34.SA,Unknown
SHPH12.SA,Unknown
BTFL39.SA,Unknown
C2EM34.SA,Unknown
RZEO11.SA,Unknown
PSVM11.SA,Unknown
BHYS39.SA,Unknown
BEFA39.SA,Unknown
C2RS34.SA,Unknown
M2AS34.SA,Unknown
BFTS39.SA,Unknown
KEVE11.SA,Unknown
IFCM3.SA,Industrials
TRXB11.SA,Unknown
ZAGH11.SA,Unknown
P1DT34.SA,Financial Services
WHGR11.SA,Unknown
MERC4.SA,Financial Services
L1EG34.SA,Consumer Cyclical
MKLC34.SA,Financial Services
P2EG34.SA,Unknown
E2PA34.SA,Unknown
CRFF11.SA,Financial
C1FG34.SA,Financial Services
BDLL4.SA,Industrials
BTAL11.SA,Unknown
BEGE39.SA,Unknown
B2MB34.SA,Communication Services
SCPF11.SA,Financial
AAZQ11.SA,Unknown
A1RG34.SA,Healthcare
BIYG39.SA,Unknown
ACNB34.SA,Technology
STMN34.SA,Technology
GPAR3.SA,Utilities
A1LG34.SA,Healthcare
VFCO34.SA,Consumer Cyclical
CEDO3.SA,Consumer Cyclical
W1YC34.SA,Real Estate
VIUR11.SA,Unknown
R1VT34.SA,Healthcare
TXRX3.SA,Consumer Cyclical
COTY34.SA,Consumer Defensive
C2ZR34.SA,Consumer Cyclical
TAKP34.SA,Healthcare
BALM3.SA,Healthcare
B1KR34.SA,Energy
T1LK34.SA,Communication Services
T1RI34.SA,Consumer Cyclical
I1PG34.SA,Technology
I1CE34.SA,Basic Materials
LUPA3.SA,Energy
L1EN34.SA,Consumer Cyclical
Q1UE34.SA,Healthcare
BIJH39.SA,Unknown
FSTU11.SA,Unknown
BEWW39.SA,Unknown
LJQQ3Q.SA,Unknown
BLPX39.SA,Unknown
R2DF34.SA,Real Estate
FISC11.SA,Financial
EVTC31.SA,Unknown
NOKI34.SA,Technology
BIGF39.SA,Unknown
DRIT11.SA,Unknown
IAGR11.SA,Unknown
TCIN12.SA,Unknown
REIT11.SA,Unknown
VVCO11.SA,Real Estate
A1IV34.SA,Real Estate
A1LL34.SA,Financial Services
TELM11.SA,Unknown
RBDS11.SA,Financial
I1LM34.SA,Healthcare
PNCS34.SA,Financial Services
FZDA11.SA,Unknown
CRIP34.SA,Consumer Cyclical
BUTL39.SA,Unknown
A1EG34.SA,Financial Services
PNPR11.SA,Unknown
NEWU11.SA,Real Estate
LSAG11.SA,Unknown
N2VC34.SA,Unknown
AAGR11.SA,Unknown
RDLI11.SA,Unknown
C2CA34.SA,Unknown
HCTR11.SA,Financial
WTSP11.SA,Unknown
HBCR11.SA,Unknown
K2RC34.SA,Unknown
N1VR34.SA,Consumer Cyclical
D1HI34.SA,Consumer Cyclical
W1IX34.SA,Technology
ATMP3.SA,Industrials
H1LT34.SA,Consumer Cyclical
S1SL34.SA,Technology
M1CH34.SA,Technology
HOOT4.SA,Consumer Cyclical
EQMA3B.SA,Utilities
S1YY34.SA,Consumer Defensive
AFLT3.SA,Utilities
WLMM3.SA,Consumer Cyclical
PATI3.SA,Basic Materials
P2LN34.SA,Consumer Cyclical
R1YA34.SA,Industrials
TJXC34.SA,Consumer Cyclical
MDLZ34.SA,Consumer Defensive
ENMT3.SA,Utilities
A1RC34.SA,Consumer Cyclical
D1DG34.SA,Technology
I1RP34.SA,Industrials
P1SX34.SA,Energy
VRSN34.SA,Technology
BEUW39.SA,Unknown
L2SC34.SA,Unknown
RZNE11.SA,Unknown
BEMC39.SA,Unknown
ABGD39.SA,Unknown
ERPA11.SA,Unknown
BAOR39.SA,Unknown
T2ER34.SA,Unknown
JCCJ11.SA,Unknown
HSRE11.SA,Unknown
K1EY34.SA,Unknown
BSUS39.SA,Unknown
C1MA34.SA,Unknown
BECH39.SA,Unknown
NSAT34.SA,Unknown
BXTC39.SA,Unknown
VTLT11.SA,Unknown
S1YF34.SA,Unknown
UNIP5.SA,Unknown
EGDB11.SA,Unknown
PRSN11.SA,Unknown
BCRB39.SA,Unknown
PRSV11.SA,Unknown
S2TW34.SA,Unknown
W2YF34.SA,Unknown
A1SU34.SA,Unknown
BRKM6.SA,Unknown
AZEV3.SA,Unknown
PNDL11.SA,Unknown
DAMA11.SA,Unknown
BDVD39.SA,Unknown
BEWG39.SA,Unknown
TSER11.SA,Unknown
CLSA3.SA,Unknown
O2LE34.SA,Unknown
VXXV11.SA,Unknown
FESA3.SA,Unknown
P1YC34.SA,Unknown
TKNO4.SA,Unknown
I1QV34.SA,Unknown
FASL34.SA,Unknown
S1RP34.SA,Unknown
TPRY34.SA,Unknown
K1SS34.SA,Unknown
GPSI34.SA,Unknown
JOPA3.SA,Unknown
GDBR34.SA,Unknown
E1MN34.SA,Unknown
Q1RV34.SA,Unknown
V2ME34.SA,Unknown
MDTC34.SA,Unknown
A1ON34.SA,Unknown
NORD3.SA,Unknown
CNIC34.SA,Unknown
KMBB34.SA,Unknown
DGCO34.SA,Unknown
W1DC34.SA,Unknown
BALM4.SA,Unknown
G1MI34.SA,Unknown
P2IN34.SA,Unknown
C1RR34.SA,Unknown
D1LR34.SA,Unknown
M1TC34.SA,Unknown
A1KA34.SA,Unknown
MRSA6B.SA,Unknown
INTU34.SA,Unknown
CPLE5.SA,Unknown
FDXB34.SA,Unknown
TSNF34.SA,Unknown
C1DW34.SA,Unknown
CPOF11.SA,Unknown
KNCA11.SA,Unknown
XPCI11.SA,Unknown
BPML11.SA,Unknown
TMOS34.SA,Unknown
I2RS34.SA,Unknown
A1ME34.SA,Unknown
LFTS11.SA,Unknown
BKCH39.SA,Unknown
BAUH4.SA,Unknown
HUCG11.SA,Unknown
BICL39.SA,Unknown
P1VH34.SA,Unknown
L1YV34.SA,Unknown
GLPF11.SA,Unknown
BEWJ39.SA,Unknown
KDOL11.SA,Unknown
HSML11.SA,Unknown
RZLC11.SA,Unknown
HOMS11.SA,Unknown
F1TV34.SA,Unknown
BTLG11.SA,Unknown
U1HS34.SA,Unknown
EALT4.SA,Unknown
AFHI11.SA,Unknown
TMPS11.SA,Unknown
M1CK34.SA,Unknown
OUJP11.SA,Unknown
W1RB34.SA,Unknown
DOLA11.SA,Unknown
WEB311.SA,Unknown
CEAB3.SA,Unknown
SNFZ11.SA,Unknown
SNID11.SA,Unknown
O1DF34.SA,Industrials
KOPA11.SA,Unknown
BNDA39.SA,Unknown
KRSA3.SA,Healthcare
RAPT3.SA,Industrials
